[2026-06-22T18:17:48.332Z] INFO  [CursorTranscriptReader] Read Cursor session 6ae8ce9d: 130 new bubbles, 4 entries extracted (index 0→130)
[2026-06-22T18:17:48.333Z] INFO  [CursorTranscriptReader] Read Cursor session 4fac1ad0: 51 new bubbles, 4 entries extracted (index 0→51)
[2026-06-22T18:17:48.334Z] INFO  [CursorTranscriptReader] Read Cursor session 5f6ee12c: 22 new bubbles, 2 entries extracted (index 0→22)
[2026-06-22T18:17:48.334Z] INFO  [CursorTranscriptReader] Read Cursor session b1e4614e: 20 new bubbles, 2 entries extracted (index 0→20)
[2026-06-22T18:17:48.339Z] INFO  [CursorTranscriptReader] Read Cursor session e2619a8d: 109 new bubbles, 2 entries extracted (index 0→109)
[2026-06-22T18:17:48.342Z] INFO  [CursorTranscriptReader] Read Cursor session bb60adb6: 159 new bubbles, 4 entries extracted (index 0→159)
[2026-06-22T18:17:48.348Z] INFO  [CursorTranscriptReader] Read Cursor session 2640f4d5: 167 new bubbles, 8 entries extracted (index 0→167)
[2026-06-22T18:17:48.353Z] INFO  [CursorTranscriptReader] Read Cursor session c2ae25c0: 245 new bubbles, 10 entries extracted (index 0→245)
[2026-06-22T18:17:48.357Z] INFO  [CursorTranscriptReader] Read Cursor session a55e57a9: 184 new bubbles, 10 entries extracted (index 0→184)
[2026-06-22T18:17:48.360Z] INFO  [CursorTranscriptReader] Read Cursor session d719abc7: 111 new bubbles, 4 entries extracted (index 0→111)
[2026-06-22T18:17:48.362Z] INFO  [CursorTranscriptReader] Read Cursor session 8bd68494: 134 new bubbles, 4 entries extracted (index 0→134)
[2026-06-22T18:17:48.365Z] INFO  [CursorTranscriptReader] Read Cursor session 00afd774: 69 new bubbles, 4 entries extracted (index 0→69)
[2026-06-22T18:17:48.367Z] INFO  [CursorTranscriptReader] Read Cursor session 1241ef9f: 70 new bubbles, 4 entries extracted (index 0→70)
[2026-06-22T18:17:48.370Z] INFO  [CursorTranscriptReader] Read Cursor session e4fd7218: 165 new bubbles, 14 entries extracted (index 0→165)
[2026-06-22T18:17:48.372Z] INFO  [CursorTranscriptReader] Read Cursor session c69b11df: 65 new bubbles, 4 entries extracted (index 0→65)
[2026-06-22T18:17:48.375Z] INFO  [CursorTranscriptReader] Read Cursor session 9e3a25f3: 157 new bubbles, 8 entries extracted (index 0→157)
[2026-06-22T18:17:48.376Z] INFO  [CursorTranscriptReader] Read Cursor session 62e6d2a7: 52 new bubbles, 4 entries extracted (index 0→52)
[2026-06-22T18:17:48.380Z] INFO  [CursorTranscriptReader] Read Cursor session cde0341d: 223 new bubbles, 6 entries extracted (index 0→223)
[2026-06-22T18:17:48.383Z] INFO  [CursorTranscriptReader] Read Cursor session 1aa691c6: 175 new bubbles, 10 entries extracted (index 0→175)
[2026-06-22T18:17:48.385Z] INFO  [CursorTranscriptReader] Read Cursor session e4b17208: 98 new bubbles, 4 entries extracted (index 0→98)
[2026-06-22T18:17:48.387Z] INFO  [CursorTranscriptReader] Read Cursor session 45b638b1: 128 new bubbles, 4 entries extracted (index 0→128)
[2026-06-22T18:17:48.389Z] INFO  [CursorTranscriptReader] Read Cursor session e779d733: 74 new bubbles, 4 entries extracted (index 0→74)
[2026-06-22T18:17:48.390Z] INFO  [CursorTranscriptReader] Read Cursor session 78a164b3: 70 new bubbles, 4 entries extracted (index 0→70)
[2026-06-22T18:17:48.395Z] INFO  [CursorTranscriptReader] Read Cursor session d2120a17: 292 new bubbles, 12 entries extracted (index 0→292)
